0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
-5.065713048,-5.065713048,-5.065713048,-5.065713048,-5.065713048,-5.065713048,-5.065713048,-5.065713048,-5.065713048,-5.065713048,-5.065713048,-5.065713048,-5.065713048,-5.065713048,-5.065713048,-5.065713048,-5.065713048,-5.065713048,-5.065713048,-5.065713048,-5.065713048,-5.065713048,-5.065713048,-5.065713048,-5.065713048
-3.444681048399996,-3.444681048399996,-3.444681048399996,-3.444681048399996,-3.444681048399996,-3.444681048399996,-3.444681048399996,-3.444681048399996,-3.444681048399996,-3.444681048399996,-3.444681048399996,-3.444681048399996,-3.444681048399996,-3.444681048399996,-3.444681048399996,-3.444681048399996,-3.444681048399996,-3.444681048399996,-3.444681048399996,-3.444681048399996,-3.444681048399996,-3.444681048399996,-3.444681048399996,-3.444681048399996,-3.444681048399996
-1.8236490488000017,-1.8236490488000017,-1.8236490488000017,-1.8236490488000017,-1.8236490488000017,-1.8236490488000017,-1.8236490488000017,-1.8236490488000017,-1.8236490488000017,-1.8236490488000017,-1.8236490488000017,-1.8236490488000017,-1.8236490488000017,-1.8236490488000017,-1.8236490488000017,-1.8236490488000017,-1.8236490488000017,-1.8236490488000017,-1.8236490488000017,-1.8236490488000017,-1.8236490488000017,-1.8236490488000017,-1.8236490488000017,-1.8236490488000017,-1.8236490488000017
-0.20261704920000007,-0.20261704920000007,-0.20261704920000007,-0.20261704920000007,-0.20261704920000007,-0.20261704920000007,-0.20261704920000007,-0.20261704920000007,-0.20261704920000007,-0.20261704920000007,-0.20261704920000007,-0.20261704920000007,-0.20261704920000007,-0.20261704920000007,-0.20261704920000007,-0.20261704920000007,-0.20261704920000007,-0.20261704920000007,-0.20261704920000007,-0.20261704920000007,-0.20261704920000007,-0.20261704920000007,-0.20261704920000007,-0.20261704920000007,-0.20261704920000007
1.41841495035,1.41841495035,1.41841495035,1.41841495035,1.41841495035,1.41841495035,1.41841495035,1.41841495035,1.41841495035,1.41841495035,1.41841495035,1.41841495035,1.41841495035,1.41841495035,1.41841495035,1.41841495035,1.41841495035,1.41841495035,1.41841495035,1.41841495035,1.41841495035,1.41841495035,1.41841495035,1.41841495035,1.41841495035
3.039446949949998,3.039446949949998,3.039446949949998,3.039446949949998,3.039446949949998,3.039446949949998,3.039446949949998,3.039446949949998,3.039446949949998,3.039446949949998,3.039446949949998,3.039446949949998,3.039446949949998,3.039446949949998,3.039446949949998,3.039446949949998,3.039446949949998,3.039446949949998,3.039446949949998,3.039446949949998,3.039446949949998,3.039446949949998,3.039446949949998,3.039446949949998,3.039446949949998
4.660478949549997,4.660478949549997,4.660478949549997,4.660478949549997,4.660478949549997,4.660478949549997,4.660478949549997,4.660478949549997,4.660478949549997,4.660478949549997,4.660478949549997,4.660478949549997,4.660478949549997,4.660478949549997,4.660478949549997,4.660478949549997,4.660478949549997,4.660478949549997,4.660478949549997,4.660478949549997,4.660478949549997,4.660478949549997,4.660478949549997,4.660478949549997,4.660478949549997
6.281510949149996,6.281510949149996,6.281510949149996,6.281510949149996,6.281510949149996,6.281510949149996,6.281510949149996,6.281510949149996,6.281510949149996,6.281510949149996,6.281510949149996,6.281510949149996,6.281510949149996,6.281510949149996,6.281510949149996,6.281510949149996,6.281510949149996,6.281510949149996,6.281510949149996,6.281510949149996,6.281510949149996,6.281510949149996,6.281510949149996,6.281510949149996,6.281510949149996
7.902542948699995,7.902542948699995,7.902542948699995,7.902542948699995,7.902542948699995,7.902542948699995,7.902542948699995,7.902542948699995,7.902542948699995,7.902542948699995,7.902542948699995,7.902542948699995,7.902542948699995,7.902542948699995,7.902542948699995,7.902542948699995,7.902542948699995,7.902542948699995,7.902542948699995,7.902542948699995,7.902542948699995,7.902542948699995,7.902542948699995,7.902542948699995,7.902542948699995
9.523574948299993,9.523574948299993,9.523574948299993,9.523574948299993,9.523574948299993,9.523574948299993,9.523574948299993,9.523574948299993,9.523574948299993,9.523574948299993,9.523574948299993,9.523574948299993,9.523574948299993,9.523574948299993,9.523574948299993,9.523574948299993,9.523574948299993,9.523574948299993,9.523574948299993,9.523574948299993,9.523574948299993,9.523574948299993,9.523574948299993,9.523574948299993,9.523574948299993
11.144606947900002,11.144606947900002,11.144606947900002,11.144606947900002,11.144606947900002,11.144606947900002,11.144606947900002,11.144606947900002,11.144606947900002,11.144606947900002,11.144606947900002,11.144606947900002,11.144606947900002,11.144606947900002,11.144606947900002,11.144606947900002,11.144606947900002,11.144606947900002,11.144606947900002,11.144606947900002,11.144606947900002,11.144606947900002,11.144606947900002,11.144606947900002,11.144606947900002
